Order	ID	Especie	Locacion	Estatus2	Fecha_colecta	Estado	Municipio	Latitud	Longitud	Altitud	Cluster-Admix	Population	Subset
153	edia_10	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
154	edia_11	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
155	gole_01	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Excluded
156	gole_02	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Excluded
157	gole_03	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Included
158	gole_04	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Excluded
159	gole_05	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Excluded
160	gole_06	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Included
161	gole_07	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Included
162	gole_08	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Excluded
163	gole_09	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Included
164	gole_10	P. coccineus	GonzalezLeon	Cultivar	15/12/15	Chiapas	Margarita	16.50694444	-92.06416667	1579	Cult-SUR-CH	Cult-SUR-CH	Included
165	naha_01	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
