pop,V1,V2,V3,V4,V5,V6,V7,V8,V9
Tlalancaneca,0.00001,0.00001,0.022194,0.000897,0.00001,0.892788,0.084071,0.00001,0.00001
Tlalancaneca,0.059483,0.00001,0.033411,0.00001,0.00001,0.857971,0.049085,0.00001,0.00001
Tlalancaneca,0.00001,0.00001,0.024181,0.041559,0.00001,0.826074,0.108136,0.00001,0.00001
Tlalancaneca,0.013495,0.00001,0.049119,0.024378,0.00001,0.815754,0.097214,0.00001,0.00001
Tlalancaneca,0.00001,0.00001,0.006981,0.00001,0.021568,0.875696,0.095705,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.038423,0.00001,0.00001,0.960267,0.00125,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.023309,0.00001,0.00001,0.91551,0.061121,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.040995,0.014449,0.00001,0.919153,0.025353,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.00001,0.00001,0.00001,0.974357,0.025573,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.023167,0.00001,0.00001,0.976763,0.00001,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.010803,0.00001,0.00001,0.955248,0.033888,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.036892,0.00001,0.00001,0.942527,0.020521,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.023331,0.00001,0.00001,0.918349,0.05826,0.00001,0.00001
OrillaDelMonte,0.00001,0.00001,0.01348,0.00001,0.00001,0.98645,0.00001,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.041985,0.00001,0.00001,0.894341,0.063614,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.0271,0.00001,0.00001,0.917746,0.055094,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.016428,0.00001,0.00001,0.983502,0.00001,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.047544,0.00001,0.00001,0.952386,0.00001,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.043697,0.00001,0.00001,0.896618,0.059625,0.00001,0.00001
XochPuebla,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.013027,0.00001,0.00001,0.922846,0.064067,0.00001,0.00001
